sampid,famid,ssex,Plate,Tray,area_wk3,perim_wk3,circ_wk3,Days_gam,Total_gam
P_1_2_10,1,f,1A,Tray 10,0.64593717,4.222708011,0.454985768,22,8
P_1_2_2,1,f,12A,Tray 15,0.054622116,1.370417704,0.365302157,22,1
P_1_2_10,1,f,1B,Tray 5,0.520319425,3.45436201,0.547676342,22,7
P_1_2_2,1,f,12C,Tray 9,0.071199224,1.304499899,0.525504938,22,1
P_1_2_10,1,f,1C,Tray 9,0.491309485,4.008273357,0.384087456,22,11
P_1_2_1,1,m,10C,Tray 1,1.05178225,4.432299724,0.672445722,22,0
P_1_2_11,1,m,15B,Tray 1,0.621094129,3.393623461,0.677360327,22,0
P_1_2_1,1,m,10B,Tray 11,0.490386523,4.592722136,0.292003343,22,0
P_1_2_1,1,m,10A,Tray 14,0.763198497,4.412120804,0.492416227,22,0
P_1_2_11,1,m,15A,Tray 2,0.910284141,3.996166005,0.715944857,22,0
P_1_2_11,1,m,15C,Tray 3,0.996648886,4.593327504,0.593303625,22,0
P_1_5_6,2,f,3A,Tray 1,0.979316216,7.423690052,0.22318907,22,0
P_1_5_12,2,f,9A,Tray 1,0.161825879,3.005851887,0.224958527,22,1
P_1_5_2,2,f,13A,Tray 12,0.56942187,3.581421941,0.557587209,22,6
P_1_5_3,2,f,13A,Tray 12,0.452576781,4.74769624,0.252183146,7,18
P_1_5_2,2,f,13B,Tray 2,0.715747428,6.15840452,0.237035291,7,8
P_1_5_3,2,f,13B,Tray 2,0.728374806,6.037600054,0.250966569,22,17
P_1_5_6,2,f,3B,Tray 2,0.852725742,5.817178987,0.316500324,22,5
P_1_5_12,2,f,9B,Tray 2,0.180158423,2.17508576,0.478290155,22,1
P_1_5_6,2,f,3C,Tray 3,0.914935142,8.105872066,0.174896234,22,1
P_1_5_12,2,f,9C,Tray 3,0.24997773,3.267774265,0.294026763,22,2
P_1_5_1,2,f,17A,Tray 7,0.503764938,4.262460483,0.348254587,22,0
P_1_5_1,2,f,17B,Tray 7,0.011220314,0.564606175,0.442082568,22,0
P_1_5_1,2,f,17C,Tray 7,0.781879414,3.997645793,0.614498456,22,0
P_1_5_2,2,f,13C,Tray 8,0.626319719,4.655613103,0.362937598,22,5
P_1_5_3,2,f,13C,Tray 8,0.569643562,4.171319029,0.41119329,22,19
P_1_5_9,2,m,15B,Tray 1,0.470669537,3.000672631,0.656551043,22,1
P_1_5_4,2,m,11A,Tray 10,0.897665812,4.111723952,0.666893409,22,0
P_1_5_4,2,m,11B,Tray 10,0.82997746,4.203336248,0.590021275,22,0
P_1_5_4,2,m,11C,Tray 10,0.870940654,4.003094101,0.682631939,22,0
P_1_5_11,2,m,12A,Tray 15,0.736753846,3.63953723,0.698585744,22,2
P_1_5_9,2,m,15A,Tray 2,0.425824477,2.792964283,0.685629502,22,0
P_1_5_9,2,m,15C,Tray 3,0.678928512,3.944844286,0.547966435,7,2
P_1_5_5,2,m,16A,Tray 4,0.720801094,4.073316742,0.545643156,22,0
P_1_5_5,2,m,16B,Tray 4,0.805152516,4.556467344,0.487092306,22,0
P_1_5_5,2,m,16C,Tray 4,0.910442492,4.344723212,0.605784183,22,0
P_1_5_11,2,m,12B,Tray 5,0.52726878,3.481334499,0.546424532,22,0
P_1_5_11,2,m,12C,Tray 9,0.74474832,6.26064438,0.238649814,22,0
P_1_6_3,3,f,10C,Tray 1,0.088445932,1.656487523,0.404847224,22,0
P_1_6_2,3,f,19A,Tray 1,0.367329543,4.529494854,0.224877475,22,0
P_1_6_15,3,f,2B,Tray 1,1.026106734,5.873949015,0.373526856,22,5
P_1_6_15,3,f,2C,Tray 1,0.541457048,6.656487523,0.153484105,22,3
P_1_6_5,3,f,3A,Tray 1,1.224796772,8.031210063,0.238501822,22,0
P_1_6_3,3,f,10B,Tray 11,0.023969848,0.933073249,0.345798761,22,0
P_1_6_3,3,f,10A,Tray 14,0.393041254,3.585861304,0.383920056,22,1
P_1_6_7,3,f,12A,Tray 15,0.437090034,4.561377548,0.263856928,22,0
P_1_6_2,3,f,19B,Tray 2,0.211371707,4.590300666,0.125995266,22,0
P_1_6_5,3,f,3B,Tray 2,0.638571577,5.028250488,0.317223546,22,1
P_1_6_15,3,f,2A,Tray 3,0.701446053,6.77951167,0.191684541,22,1
P_1_6_5,3,f,3C,Tray 3,0.915342331,7.108428062,0.227523385,22,9
P_1_6_7,3,f,12B,Tray 5,0.5946721,4.893522567,0.311906203,22,2
P_1_6_2,3,f,19C,Tray 7,0.081415139,1.627160826,0.386219189,22,0
P_1_6_7,3,f,12C,Tray 9,0.509750613,4.101903545,0.380519142,22,1
P_1_6_14,3,m,13A,Tray 12,0.370320119,3.718436806,0.336392369,22,7
P_1_6_14,3,m,13B,Tray 2,0.394991236,4.003699469,0.309495371,22,3
P_1_6_13,3,m,18A,Tray 4,0.737305813,5.620636309,0.293134091,22,10
P_1_6_13,3,m,18B,Tray 4,0.97948814,7.318490617,0.229691953,22,17
P_1_6_13,3,m,18C,Tray 7,0.88380782,6.874756171,0.234872884,22,11
P_1_6_14,3,m,13C,Tray 8,0.337686198,4.616331472,0.199025617,22,5
P_11_16_5,4,f,3A,Tray 1,1.00117773,7.71762965,0.211121738,22,0
P_11_16_18,4,f,7A,Tray 10,0.626586654,3.770700209,0.553511654,22,1
P_11_16_12,4,f,5C,Tray 12,1.00929436,7.395305038,0.231790323,22,13
P_11_16_18,4,f,7B,Tray 12,0.876668443,5.017353871,0.437396746,22,2
P_11_16_7,4,f,12A,Tray 15,0.558531832,7.761619695,0.116448219,22,0
P_11_16_5,4,f,3B,Tray 2,0.810360009,7.142799489,0.199494406,7,2
P_11_16_12,4,f,5B,Tray 2,0.97928907,6.353400148,0.304710998,22,16
P_11_16_18,4,f,7C,Tray 2,1.002313335,4.845900316,0.53609801,22,15
P_11_16_5,4,f,3C,Tray 3,0.757009227,4.089056299,0.568649462,22,0
P_11_16_7,4,f,12B,Tray 5,0.679367371,4.319163247,0.457398869,22,0
P_11_16_12,4,f,5A,Tray 8,0.890951721,5.581152889,0.359249334,22,4
P_11_16_7,4,f,12C,Tray 9,0.396036354,2.985336652,0.55813347,22,0
P_11_16_15,4,m,15B,Tray 1,0.943791255,4.282504877,0.64635313,22,0
P_11_16_14,4,m,9A,Tray 1,0.641756699,6.447030336,0.193928046,22,4
P_11_16_20,4,m,11A,Tray 10,0.835895271,5.72751732,0.32004326,22,1
P_11_16_20,4,m,11B,Tray 10,0.739364379,5.78280756,0.277696677,22,0
P_11_16_20,4,m,11C,Tray 10,0.63020611,4.944978812,0.323700506,22,0
P_11_16_15,4,m,15A,Tray 2,1.070766297,4.568372906,0.644408467,22,0
P_11_16_14,4,m,9B,Tray 2,0.556156564,4.997242214,0.279721537,22,2
P_11_16_15,4,m,15C,Tray 3,0.752643258,5.413533329,0.322564958,22,0
P_11_16_14,4,m,9C,Tray 3,0.566046727,5.623932199,0.224782124,22,0
P_14_11_6,5,f,2B,Tray 1,0.614411708,4.711239658,0.347679215,22,0
P_14_11_6,5,f,2C,Tray 1,0.458309094,3.175892917,0.570711223,22,0
P_14_11_8,5,f,7A,Tray 10,0.786865215,3.905293603,0.64801134,22,4
P_14_11_4,5,f,5C,Tray 12,0.542800771,3.516513083,0.551322377,22,3
P_14_11_8,5,f,7B,Tray 12,0.242969558,5.516983924,0.100262393,22,0
P_14_11_7,5,f,8C,Tray 12,0.360126826,2.739826461,0.6025582,7,1
P_14_11_7,5,f,8A,Tray 15,0.29069661,2.578865945,0.548999657,22,0
P_14_11_4,5,f,5B,Tray 2,0.503181301,3.463442524,0.526863561,22,0
P_14_11_8,5,f,7C,Tray 2,0.721334964,3.850675994,0.61101612,22,2
P_14_11_7,5,f,8B,Tray 2,0.487205926,3.437008139,0.518013503,22,2
P_14_11_6,5,f,2A,Tray 3,0.611959527,4.059191498,0.466480248,22,2
P_14_11_4,5,f,5A,Tray 8,0.45813717,2.926010628,0.672099187,22,0
P_14_11_5,5,m,28A,Tray 1,0.615655896,4.316069146,0.415098243,22,3
P_14_11_14,5,m,9A,Tray 1,0.646679159,3.807493106,0.560273721,22,3
P_14_11_15,5,m,13A,Tray 12,0.992961565,4.544023677,0.604005519,22,18
P_14_11_15,5,m,13B,Tray 2,0.793497868,4.940001345,0.408395802,22,15
P_14_11_5,5,m,28B,Tray 2,0.534394584,3.984933073,0.422677981,22,0
P_14_11_14,5,m,9B,Tray 2,0.628301371,3.52895675,0.633672668,22,8
P_14_11_5,5,m,28C,Tray 3,0.544877434,3.928095783,0.443531351,22,0
P_14_11_16,5,m,6B,Tray 3,0.817811564,6.191767001,0.267925269,22,17
P_14_11_14,5,m,9C,Tray 3,0.333989829,3.37384812,0.368529132,7,3
P_14_11_16,5,m,6C,Tray 4,0.87546045,5.108091747,0.421413838,22,1
P_14_11_15,5,m,13C,Tray 8,0.989527606,5.272280891,0.447116271,22,15
P_14_11_16,5,m,6A,Tray 8,0.834922542,6.114010897,0.280532647,16,6
P_14_13_10,6,f,19A,Tray 1,0.787421706,4.872738279,0.416534378,22,0
P_14_13_6,6,f,3A,Tray 1,1.000702677,7.571601534,0.2192397,22,0
P_14_13_12,6,f,9A,Tray 1,0.421277535,3.989843277,0.332388712,22,12
P_14_13_2,6,f,1A,Tray 10,0.472700956,2.968520885,0.673745539,22,4
P_14_13_10,6,f,19B,Tray 2,0.392127341,4.602542544,0.232499028,22,0
P_14_13_6,6,f,3B,Tray 2,0.786028216,4.579000471,0.470854146,7,2
P_14_13_12,6,f,9B,Tray 2,0.434176371,3.191632475,0.535340467,22,18
P_14_13_6,6,f,3C,Tray 3,0.458829391,3.943431762,0.370588731,22,0
P_14_13_12,6,f,9C,Tray 3,0.288565656,3.355687092,0.32186323,22,14
P_14_13_2,6,f,1B,Tray 5,0.502968657,3.16587072,0.630295505,7,6
P_14_13_10,6,f,19C,Tray 7,0.506425238,6.629515033,0.144724301,22,0
P_14_13_7,6,f,27A,Tray 7,0.34655839,4.093495662,0.259763058,22,9
P_14_13_7,6,f,27B,Tray 7,0.669698899,5.420663214,0.286262443,22,13
P_14_13_7,6,f,27C,Tray 7,0.610882739,4.425438892,0.391773266,22,18
P_14_13_2,6,f,1C,Tray 9,0.377572604,3.035447636,0.514688688,22,5
P_14_13_4,6,m,28A,Tray 1,0.494073844,5.54476357,0.201843811,22,15
P_14_13_14,6,m,5C,Tray 12,0.811255824,4.355081725,0.537223311,22,2
P_14_13_4,6,m,28B,Tray 2,0.759135657,4.479451133,0.475181391,22,14
P_14_13_14,6,m,5B,Tray 2,0.738043277,4.075065581,0.558215978,22,2
P_14_13_4,6,m,28C,Tray 3,0.660053049,4.515033295,0.406674149,22,11
P_14_13_5,6,m,16A,Tray 4,0.63349529,4.727450057,0.356023882,22,0
P_14_13_5,6,m,16B,Tray 4,0.547940399,5.950830699,0.194342494,22,0
P_14_13_5,6,m,16C,Tray 4,0.44340146,4.46599852,0.279221984,22,1
P_14_13_13,6,m,20A,Tray 4,0.516718066,5.371762965,0.224910434,22,1
P_14_13_13,6,m,20B,Tray 4,0.598947583,3.182350172,0.74281818,22,5
P_14_13_13,6,m,20C,Tray 4,0.360402809,2.674581287,0.632799611,22,7
P_14_13_14,6,m,5A,Tray 8,0.927643957,4.374924329,0.608737236,22,11
P_14_16_4,7,f,10C,Tray 1,0.163558693,2.101029125,0.465370796,22,0
P_14_16_7,7,f,19A,Tray 1,0.446301549,6.315867357,0.140524495,22,0
P_14_16_5,7,f,30A,Tray 1,0.451418555,4.402502186,0.292529646,22,0
P_14_16_4,7,f,10B,Tray 11,0.02282067,1.026905226,0.271804915,22,0
P_14_16_4,7,f,10A,Tray 14,0.049631791,1.351314993,0.341378679,22,0
P_14_16_7,7,f,19B,Tray 2,0.3383377,5.019909867,0.168635185,22,0
P_14_16_5,7,f,30B,Tray 2,0.539181315,5.08555862,0.261846723,22,1
P_14_16_5,7,f,30C,Tray 3,0.499317531,4.442927289,0.317707921,22,0
P_14_16_14,7,f,18A,Tray 4,1.047778227,6.90018161,0.276399954,22,2
P_14_16_14,7,f,18B,Tray 4,1.113905688,6.605569382,0.320639885,22,0
P_14_16_14,7,f,18C,Tray 7,0.872605604,5.658169099,0.342338538,22,0
P_14_16_7,7,f,19C,Tray 7,0.111872861,1.764444743,0.451334218,22,0
P_14_16_13,7,m,2B,Tray 1,0.818956217,6.89096657,0.216615753,22,1
P_14_16_13,7,m,2C,Tray 1,0.572742721,8.594874554,0.097380081,22,1
P_14_16_8,7,m,13A,Tray 12,0.751227146,4.561108495,0.453544711,22,0
P_14_16_3,7,m,26A,Tray 12,0.55831014,4.723145221,0.314342105,7,2
P_14_16_8,7,m,13B,Tray 2,0.947501197,5.491760274,0.394590172,22,0
P_14_16_3,7,m,26B,Tray 2,0.769935209,5.653729737,0.302533681,22,5
P_14_16_13,7,m,2A,Tray 3,0.685561165,7.512813614,0.152556466,22,1
P_14_16_16,7,m,6B,Tray 3,0.743332208,4.240129145,0.519295335,22,0
P_14_16_16,7,m,6C,Tray 4,0.779305076,3.98486581,0.616410094,22,0
P_14_16_15,7,m,27A,Tray 7,0.841763314,7.151005583,0.206749943,22,1
P_14_16_15,7,m,27B,Tray 7,0.589378646,4.661397727,0.340683983,22,1
P_14_16_8,7,m,13C,Tray 8,0.81105223,4.471312302,0.509528467,22,0
P_14_16_3,7,m,26C,Tray 8,0.858073488,5.757180332,0.32515801,22,7
P_14_16_16,7,m,6A,Tray 8,0.910686805,5.021591444,0.453603015,22,5
P_14_22_5,8,f,13A,Tray 12,0.283842266,2.887199839,0.427674163,22,1
P_14_22_9,8,f,8C,Tray 12,0.66267263,4.860092823,0.352370502,22,2
P_14_22_1,8,f,12A,Tray 15,0.694840546,6.886998049,0.18399875,22,12
P_14_22_9,8,f,8A,Tray 15,0.543918278,4.425506155,0.348816801,22,0
P_14_22_5,8,f,13B,Tray 2,0.465647542,4.359655613,0.307710691,7,8
P_14_22_9,8,f,8B,Tray 2,0.663916818,4.223986009,0.467367348,22,3
P_14_22_1,8,f,12B,Tray 5,0.246969057,2.776619358,0.402345816,22,15
P_14_22_1,8,f,27A,Tray 7,0.923463485,8.47521356,0.161476031,22,6
P_14_22_1,8,f,27B,Tray 7,1.102341526,7.743189615,0.230922377,22,9
P_14_22_1,8,f,27C,Tray 7,1.075856157,6.369341495,0.333084774,22,5
P_14_22_5,8,f,13C,Tray 8,0.553541507,4.985538441,0.279714959,7,12
P_14_22_1,8,f,12C,Tray 9,0.383051555,4.193246788,0.273618856,7,19
P_14_22_4,8,m,9A,Tray 1,0.638295594,4.693751261,0.363891025,22,0
