"","famid","sampid","Date.PTR","ssex","Total.conc","Total.masses","Avg.conc.raw","Total.conc.stand.mean","Avg.conc.divmean","low.end.sum.Total.conc","high.end.sum.Total.conc","low.end.Total.masses","high.end.Total.masses","high.avg.conc","low.avg.conc","data$Leaf_Length_Average","data$repro"
"1",1,"P_1_2_1","27-May","m",4.78978e-06,14,3.42127142857143e-07,1.14846404931704,0.0820331463797889,3.57129e-06,1.21849e-06,11,3,4.06163333333333e-07,3.24662727272727e-07,1.795333697,1.2
"2",1,"P_1_2_1","25-May","m",9.162731e-05,31,2.95571967741936e-06,98.2135561049796,3.16817922919289,2.93019e-05,6.232541e-05,14,17,3.66620058823529e-06,2.09299285714286e-06,1.666815628,1.4
"3",1,"P_1_2_10","29-May","f",0.000142224479,51,2.7887152745098e-06,1296.87472767363,25.4289162288948,2.54189e-05,0.000116805579,12,39,2.99501484615385e-06,2.11824166666667e-06,2.235222953,6.5
"4",1,"P_1_2_11","25-May","m",0.0003083993,54,5.71109814814815e-06,43982.5313110517,814.491320575031,2.28913e-05,0.000285508,13,41,6.96360975609756e-06,1.76086923076923e-06,2.761946826,0
"6",1,"P_1_2_2","29-May","f",6.3717299e-05,36,1.76992497222222e-06,228.716521034805,6.35323669541124,2.4845e-05,3.8872299e-05,12,24,1.619679125e-06,2.07041666666667e-06,2.937435171,15.66666667
"7",2,"P_1_5_1","22-May","f",0.0008398379,46,1.82573456521739e-05,184.578844559153,4.01258357737289,8.0723e-07,0.00083903067,2,44,1.90688788636364e-05,4.03615e-07,1.907310002,8.333333333
"8",2,"P_1_5_1","26-May","f",0.000687517322066,60,1.14586220344333e-05,228.868831802768,3.81448053004613,1.98301e-05,0.000667687222066,2,58,1.15118486563103e-05,9.91505e-06,1.740558085,10.33333333
"9",2,"P_1_5_11","30-May","m",0.00026722986,36,7.42305166666667e-06,662.498321730138,18.4027311591705,2.19901e-05,0.00024523976,11,25,9.8095904e-06,1.9991e-06,2.845660147,1.1
"10",2,"P_1_5_11","25-May","m",8.727685e-05,25,3.491074e-06,3409.67713637972,136.387085455189,5.198565e-05,3.52912e-05,20,5,7.05824e-06,2.5992825e-06,1.44541947,1.1
"12",2,"P_1_5_2","25-May","f",0.00011035275,46,2.39897282608696e-06,431.715965055569,9.38512967512107,3.446935e-05,7.58834e-05,24,22,3.44924545454545e-06,1.43622291666667e-06,1.8391977,18
"13",2,"P_1_5_2","28-May","f",0.0005448558,61,8.93206229508197e-06,52.5528064292125,0.861521416872337,1.03e-08,0.0005448455,1,60,9.08075833333333e-06,1.03e-08,1.556340682,10.33
"14",2,"P_1_5_3","27-May","f",0.0004920166,39,1.26158102564103e-05,47.8898395768729,1.2279446045352,5.339349e-05,0.00043862311,14,25,1.75449244e-05,3.81382071428571e-06,1.947158939,11.67
"15",2,"P_1_5_3","28-May","f",0.0017891725,65,2.75257307692308e-05,20609.235017864,317.065154120985,5.08e-08,0.0017891217,2,63,2.83987571428571e-05,2.54e-08,1.32723485,11.67
"16",2,"P_1_5_4","29-May","m",7.94645e-06,23,3.45497826086957e-07,151.955353989832,6.60675452129703,7.209e-06,7.3745e-07,18,5,1.4749e-07,4.005e-07,1.314705681,1.2
"17",2,"P_1_5_4","23-May","m",0.0001736565,24,7.2356875e-06,8121.44508532254,338.393545221773,3.91311e-05,0.0001345254,17,7,1.92179142857143e-05,2.30182941176471e-06,2.478663892,1.2
"18",2,"P_1_5_5","30-May","m",0.056813171,50,0.00113626342,11614.0810028567,232.281620057135,0,0.056813171,0,50,0.00113626342,0,1.167914558,1
"19",2,"P_1_5_5","23-May","m",7.420003e-05,17,4.36470764705882e-06,11.9674718925257,0.703968934854452,1.52411e-05,5.895893e-05,10,7,8.42270428571429e-06,1.52411e-06,1.568493097,1
"20",2,"P_1_5_6","24-May","f",0.0002288184,38,6.02153684210526e-06,3412.57657095273,89.8046466040193,2.4221e-05,0.0002045974,19,19,1.07682842105263e-05,1.27478947368421e-06,1.807656231,28.67
"21",2,"P_1_5_6","25-May","f",0.00031425271,27,1.16389892592593e-05,426.51315148659,15.7967833883922,3.56431e-06,0.0003106884,7,20,1.553442e-05,5.09187142857143e-07,2.226109628,29.67
"22",2,"P_1_5_9","28-May","m",7.201376e-05,31,2.32302451612903e-06,8279.76034642271,267.089043432991,2.269905e-05,4.931471e-05,23,8,6.16433875e-06,9.86915217391304e-07,1.026748122,1.6
"26",3,"P_1_6_14","30-May","m",1.400973869,58,0.0241547218793103,296373.590608927,5109.88949325735,0,1.400973869,0,58,0.0241547218793103,0,1.518173398,0
"27",3,"P_1_6_14","24-May","m",0.0012701705519334,54,2.35216768876556e-05,369.30400605897,6.8389630751661,1.47829e-05,0.0012553876519334,6,48,2.61539094152792e-05,2.46381666666667e-06,1.115807131,0
"28",3,"P_1_6_15","23-May","f",5.97088e-05,13,4.59298461538462e-06,6038.80055369429,464.523119514946,2.8692e-06,5.68396e-05,7,6,9.47326666666667e-06,4.09885714285714e-07,2.386345608,0
"29",3,"P_1_6_15","25-May","f",0.0004412353664419,55,8.02246120803455e-06,571.865575762357,10.3975559229519,0,0.0004412353664419,0,55,8.02246120803455e-06,0,2.00664355,11.67
"30",3,"P_1_6_2","29-May","f",0.0011026374,43,2.56427302325581e-05,3541.63198088858,82.3635344392692,4.25e-07,0.0011022124,1,42,2.62431523809524e-05,4.25e-07,0.725102794,3
"31",3,"P_1_6_2","26-May","f",0.0002642491115471,56,4.71873413476964e-06,14.7856651851015,0.264029735448242,1.8275e-05,0.0002459741115471,4,52,4.73027137590577e-06,4.56875e-06,0.7235159,0
"32",3,"P_1_6_3","29-May","f",2.58135e-05,32,8.06671875e-07,59.8503374316452,1.87032304473891,1.09276e-05,1.48859e-05,17,15,9.92393333333333e-07,6.428e-07,1.657092717,4.67
"33",3,"P_1_6_3","28-May","f",0.00020929345,57,3.6718149122807e-06,6810.96632615637,119.490637300989,5.922e-07,0.00020870125,2,55,3.79456818181818e-06,2.961e-07,2.358795718,0
"34",3,"P_1_6_5","24-May","f",0.00027315682,34,8.03402411764706e-06,1708.28858513145,50.2437819156308,9.66558e-06,0.00026349124,21,13,2.02685569230769e-05,4.60265714285714e-07,1.508348643,17.33
